7,7,7,7,7,7,7,7,3,10,10,10,17,7,7
7,7,7,7,7,7,7,3,10,10,10,17,7,7,7
7,7,7,7,7,7,3,10,10,10,17,7,7,7,7
7,7,7,7,7,3,10,10,10,17,7,7,7,7,7
7,7,7,13,14,10,10,10,17,7,7,7,7,7,7
7,7,3,10,10,0,1,1,7,7,7,7,7,7,7
7,7,9,10,10,6,7,7,7,7,7,7,7,7,7
7,14,10,10,17,7,7,7,7,7,7,7,7,7,7
10,10,10,0,7,7,7,7,7,7,7,7,7,7,7
10,10,10,6,7,7,7,7,7,7,7,7,7,7,7
7,15,10,12,7,7,7,7,7,7,7,7,7,7,7
7,7,9,10,12,13,7,7,7,7,7,7,7,7,7
7,7,9,10,10,10,12,7,7,7,7,7,7,7,7
7,7,2,16,16,16,10,10,12,7,7,7,7,7,7
7,7,7,7,7,7,15,10,10,12,7,7,7,7,7
